tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-M020,Brisbane,20180101,Hard,"Harrison, Ryan",USA,"Mayer, Leonardo",ARG,6-4 3-6 6-2,3,R32,123.0,9.0,2.0,82.0,49.0,39.0,20.0,13.0,8.0,9.0,10.0,3.0,80.0,47.0,33.0,19.0,14.0,1.0,4.0,47.0,1010.0,52.0,909.0,4.0
2018-6242,Winston Salem,20180820,Hard,"Edmund, Kyle",GBR,"Mayer, Leonardo",ARG,6-3 6-3,3,R32,72.0,3.0,3.0,47.0,29.0,27.0,10.0,9.0,0.0,0.0,7.0,5.0,54.0,31.0,24.0,8.0,9.0,2.0,5.0,16.0,1985.0,41.0,1061.0,2.0
2018-M016,Eastbourne,20180625,Grass,"Millman, John",AUS,"Mayer, Leonardo",ARG,7-6(7) 7-6(4),3,R16,121.0,3.0,1.0,83.0,58.0,39.0,16.0,12.0,6.0,8.0,5.0,2.0,93.0,53.0,39.0,18.0,12.0,5.0,7.0,62.0,906.0,36.0,1227.0,1.0
2018-M007,Miami Masters,20180319,Hard,"Coric, Borna",CRO,"Mayer, Leonardo",ARG,6-7(5) 6-3 6-4,3,R64,176.0,5.0,4.0,112.0,70.0,56.0,20.0,16.0,8.0,9.0,10.0,8.0,107.0,54.0,42.0,25.0,15.0,4.0,7.0,36.0,1366.0,45.0,1080.0,2.0
2018-0414,Hamburg,20180723,Clay,"Basilashvili, Nikoloz",RUS,"Mayer, Leonardo",ARG,6-4 0-6 7-5,3,F,132.0,4.0,8.0,90.0,42.0,33.0,23.0,14.0,6.0,9.0,9.0,4.0,87.0,57.0,45.0,12.0,14.0,2.0,4.0,81.0,715.0,36.0,1197.0,2.0
2018-6932,Rio De Janeiro,20180219,Clay,"Verdasco, Fernando",ESP,"Mayer, Leonardo",ARG,6-2 3-6 6-3,3,R32,116.0,4.0,6.0,81.0,50.0,40.0,16.0,13.0,5.0,6.0,4.0,5.0,78.0,44.0,30.0,19.0,13.0,2.0,5.0,40.0,1260.0,49.0,999.0,2.0
2018-0316,Bastad,20180716,Clay,"Berrettini, Matteo",ITA,"Mayer, Leonardo",ARG,3-6 6-3 6-4,3,R32,127.0,5.0,3.0,86.0,40.0,29.0,28.0,14.0,6.0,8.0,2.0,5.0,86.0,57.0,37.0,16.0,14.0,1.0,4.0,75.0,757.0,36.0,1197.0,2.0
2018-M015,Beijing,20181001,Hard,"Berrettini, Matteo",ITA,"Mayer, Leonardo",ARG,6-3 6-2,3,R32,75.0,4.0,4.0,50.0,31.0,25.0,11.0,8.0,5.0,5.0,3.0,4.0,55.0,36.0,23.0,6.0,9.0,2.0,6.0,58.0,879.0,52.0,965.0,3.0
2018-0506,Buenos Aires,20180212,Clay,"Monfils, Gael",FRA,"Mayer, Leonardo",ARG,6-4 3-6 6-3,3,QF,122.0,3.0,0.0,84.0,62.0,40.0,15.0,14.0,3.0,5.0,4.0,8.0,87.0,52.0,36.0,20.0,14.0,3.0,6.0,43.0,1175.0,50.0,974.0,1.0
2018-540,Wimbledon,20180702,Grass,"Struff, Jan Lennard",GER,"Mayer, Leonardo",ARG,3-6 6-7(5) 7-6(5) 7-6(5) 6-1,5,R128,209.0,17.0,6.0,156.0,96.0,86.0,32.0,28.0,2.0,4.0,14.0,9.0,163.0,103.0,80.0,37.0,27.0,7.0,9.0,64.0,865.0,36.0,1235.0,5.0
